Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2005 to present (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Total energy cost (all energy supplies, utility, local and renewable) (£)",Water volume (including borehole) (m³),Water and sewage cost (£),High temperature disposal waste weight (Tonnes),Total waste cost (£),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/visitor concession scheme provided (Yes/No/None),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (in-patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RE922,ST BENEDICT'S HOSPICE,SPECIALIST HOSPITAL,3489.00,3489.00,100.00,8057.00,1629.00,2.87,2789.00,700.00,0.00,0.00,0.00,14.00,11.00,14.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,487593.00,342823.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88362.00,1719.00,6069.00,6.77,2956.00,2.80,0.00,0.00,0.00,0.00,2.82,397.00,No,65.00,0.00,5.00,0.00,0.00,0.00,No,24.43,3.80,15953.00,185918.00
RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RE9GA,SOUTH TYNESIDE DISTRICT HOSPITAL,GENERAL ACUTE HOSPITAL,44402.00,40676.00,100.00,120292.00,30284.00,14.52,21621.00,14155.00,17.75,13.66,7.54,355.00,286.00,44.00,68.00,0.90,8.14,42.13,5.49,18.56,0.00,0.00,24.78,100.00,59750.00,1703410.00,6688370.00,1127030.00,2396570.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6367353.00,19296252.00,133425.00,0.00,0.00,0.00,0.00,0.00,0.00,1380433.00,76905.00,203708.00,213.93,12803.00,178.60,0.00,7.45,0.00,0.00,90.16,8211.00,Yes,854.00,97.00,47.00,710.00,1.20,0.04,No,12.06,3.80,311117.00,2021859.00
RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RE9GC,PRIMROSE HILL HOSPITAL,LONG STAY HOSPITAL,986.00,986.00,100.00,2503.00,986.00,0.82,713.00,273.00,0.00,0.00,0.00,16.00,14.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,22170.00,17740.00,8030.00,23650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91733.00,374392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21852.00,309.00,2364.00,5.07,4177.00,7.15,0.00,0.00,0.00,0.00,4.02,533.00,No,25.00,25.00,2.00,0.00,0.00,0.00,No,4.17,3.80,25868.00,58099.00
RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RE9GF,PALMER COMMUNITY HOSPITAL,MULTI-SERVICE HOSPITAL,5239.00,5239.00,100.00,14398.00,2550.00,0.85,2500.00,2739.00,4.27,3.21,8.88,26.00,21.00,0.00,6.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,309630.00,326020.00,72060.00,330590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,368328.00,1227699.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86523.00,589.00,3751.00,9.74,6068.00,6.45,0.00,0.00,0.00,0.00,5.66,1003.00,Yes,65.00,55.00,5.00,5.00,1.20,0.04,No,4.24,3.80,25439.00,58099.00
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,AGGRE,AGGREGATE SITE,AGGREGATE SITE,1842.00,1842.00,100.00,4326.00,1788.00,1.65,153.00,1689.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,54.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100000.00,134166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15252.00,0.00,0.00,7.00,20655.00,0.00,30.00,0.00,0.00,0.00,13.00,212.00,Yes,53.00,4.00,1.00,49.00,0.00,0.03,No,0.00,0.00,0.00,0.00
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,REF01,WEST CORNWALL HOSPITAL,GENERAL ACUTE HOSPITAL,10654.00,8664.00,100.00,22699.00,7482.00,1.40,3911.00,4754.00,53.00,53.00,37.00,54.00,47.00,4.00,5.00,0.00,0.00,42.54,0.45,3.86,0.00,17.76,35.39,100.00,0.00,309000.00,402000.00,2829000.00,761752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1140278.00,2211389.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,179924.00,16284.00,74801.00,56.00,64030.00,0.00,44.00,1.00,0.00,0.00,558.06,25534.00,Yes,38.00,24.00,8.00,12.00,1.00,0.03,Yes,5.96,6.00,64496.00,128206.00
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,REF02,ST MICHAELS HOSPITAL,GENERAL ACUTE HOSPITAL,8420.00,7729.00,100.00,18904.00,4680.00,1.20,3269.00,3930.00,35.00,35.00,31.00,58.00,28.00,0.00,12.00,0.00,0.00,30.00,0.00,0.00,0.00,70.00,0.00,100.00,0.00,235000.00,257000.00,1192000.00,284929.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,931667.00,1955000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153536.00,4291.00,21120.00,37.00,49666.00,0.00,72.00,0.00,0.00,0.00,186.00,4294.00,Yes,152.00,89.00,17.00,64.00,1.00,0.03,Yes,5.85,8.00,42705.00,83314.00
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,REF12,ROYAL CORNWALL HOSPITAL,GENERAL ACUTE HOSPITAL,97627.00,96664.00,100.00,208091.00,38340.00,18.18,40229.00,47178.00,29.00,29.00,2.00,587.00,521.00,40.00,51.00,3.00,17.00,33.00,11.00,35.00,0.00,0.00,1.00,100.00,35000.00,5625000.00,4000000.00,15343000.00,4184354.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15486667.00,19794444.00,0.00,0.00,0.00,0.00,0.00,0.00,464570.00,2028311.00,129446.00,549467.00,1073.00,454962.00,0.00,433.00,2.00,5.00,0.00,432.68,42701.00,Yes,2060.00,684.00,104.00,1407.00,1.70,0.03,Yes,6.58,13.70,603345.00,1322558.00
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,REM21,UNIVERSITY HOSPITAL AINTREE,GENERAL ACUTE HOSPITAL,138749.00,137222.00,100.00,319182.00,59914.00,34.66,85768.00,46141.00,7.70,5.36,2.15,685.00,647.00,101.00,73.00,37.63,13.24,5.13,0.07,37.51,0.00,0.00,6.42,100.00,0.00,2719323.00,7817622.00,12495155.00,3755621.00,1.00,1600.00,22094035.00,4521829.00,8107810.00,0.00,0.00,0.00,49515594.00,200078.00,0.00,0.00,0.00,0.00,8403984.00,0.00,2532839.00,190695.00,538288.00,111.99,373556.00,360.93,445.34,6.53,0.00,0.00,896.54,87088.00,Yes,2976.00,2976.00,198.00,2925.00,1.50,0.15,Yes,8.06,5.00,512364.00,2223700.00
REN,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SPECIALIST,REN20,CLATTERBRIDGE CENTRE FOR ONCOLOGY,SPECIALIST HOSPITAL,16688.00,14465.00,95.00,48786.00,15967.00,4.68,12320.00,2047.00,2.00,0.00,0.00,73.00,47.00,24.00,2.00,0.00,24.00,10.00,20.00,40.00,6.00,0.00,0.00,100.00,10000.00,30000.00,60000.00,50000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3834269.00,4904880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,898378.00,12478.00,37127.00,24.00,69360.00,2.00,178.00,0.00,0.00,0.00,98.00,3142.00,None,550.00,136.00,16.00,398.00,0.00,0.00,No,12.57,18.00,76827.00,322063.00
REN,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SPECIALIST,REN21,CLATTERBRIDGE CANCER CENTRE LIVERPOOL,SPECIALIST HOSPITAL,2128.00,1970.00,0.00,6240.00,1800.00,0.50,1700.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,594932.00,145659.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81716.00,659.00,1542.00,0.51,1900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,35.00,35.00,5.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SPECIALIST,REP01,LIVERPOOL WOMENS HOSPITAL,SPECIALIST HOSPITAL,30870.00,30870.00,97.00,80610.00,15450.00,5.26,15107.00,12299.00,12.00,12.00,0.00,285.00,265.00,39.00,0.00,8.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,70000.00,225000.00,225000.00,82500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5862352.00,5692279.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,935458.00,32895.00,138043.00,201.00,111108.00,0.00,0.00,6.05,0.00,0.00,584.14,5552.00,Yes,869.00,245.00,22.00,602.00,1.00,0.06,No,5.31,3.00,80640.00,543827.00
RET,WALTON CENTRE NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SPECIALIST,RET20,WALTON CENTRE FOR NEUROLOGY & NEUROSURGERY,SPECIALIST HOSPITAL,21834.00,21834.00,84.40,49638.00,8546.00,1.64,15942.00,5892.00,0.00,0.00,0.00,160.00,138.00,32.00,0.00,5.00,87.00,0.00,5.00,0.00,0.00,0.00,3.00,100.00,0.00,924600.00,663900.00,944000.00,550000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5257550.00,0.00,0.00,0.00,0.00,308292.00,4176687.00,0.00,675135.00,27370.00,47643.00,73.00,124415.00,102.00,146.00,4.70,0.00,0.00,117.00,0.00,Yes,104.00,86.00,18.00,0.00,1.28,0.00,Yes,4.99,9.00,178485.00,537797.00
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",LONDON COMMISSIONING REGION,ACUTE - LARGE,RF4DG,KING GEORGE HOSPITAL,GENERAL ACUTE HOSPITAL,40156.00,36328.00,100.00,103333.00,23002.00,14.82,18696.00,13070.00,2.00,0.00,4.00,327.00,289.00,32.00,41.00,0.00,4.00,93.00,0.00,3.00,0.00,0.00,0.00,100.00,69865.00,1722248.00,2035384.00,197846.00,2326319.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14111248.00,63600.00,0.00,0.00,0.00,0.00,8518523.00,0.00,1409159.00,110657.00,165207.00,86.00,228308.00,236.00,0.00,0.00,0.00,341.00,140.00,91356.00,Yes,768.00,275.00,68.00,425.00,1.20,0.20,Yes,10.53,3.00,378345.00,1457020.00
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",LONDON COMMISSIONING REGION,ACUTE - LARGE,RF4QH,QUEEN'S HOSPITAL,GENERAL ACUTE HOSPITAL,95526.00,93181.00,100.00,287912.00,31765.00,14.06,55915.00,28687.00,0.00,0.00,8.00,719.00,667.00,188.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,1.00,725.00,8649600.00,1702000.00,2502700.00,0.00,0.00,0.00,23554354.00,168000.00,0.00,0.00,0.00,0.00,18157454.00,0.00,2792533.00,121926.00,231438.00,241.00,446438.00,513.00,0.00,0.00,0.00,141.00,1138.00,103470.00,Yes,1310.00,548.00,110.00,625.00,1.20,0.20,Yes,10.93,3.00,770265.00,3057376.00
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RFF99,BARNSLEY DISTRICT GENERAL HOSPITAL NHS TRUST,GENERAL ACUTE HOSPITAL,76548.00,71093.00,100.00,193899.00,28577.00,8.32,36023.00,28990.00,10.15,11.74,6.73,439.00,372.00,17.00,125.00,0.00,0.48,0.32,76.53,22.67,0.00,0.00,0.00,100.00,2390000.00,3102000.00,4994000.00,2011000.00,3486972.00,1.00,1130.00,21616378.00,3541000.00,6122194.00,0.00,0.00,2918081.00,32341576.00,35849.00,0.00,0.00,0.00,0.00,20475.00,0.00,1335835.00,102771.00,236192.00,135.81,183378.00,288.38,385.00,9.75,0.00,0.00,375.00,24000.00,Yes,1256.00,596.00,79.00,660.00,1.07,0.09,Yes,9.99,5.66,460976.00,2074069.00
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RFRPA,ROTHERHAM DISTRICT GENERAL HOSPITAL,GENERAL ACUTE HOSPITAL,69719.00,67139.00,100.00,176162.00,35326.00,20.97,47261.00,19878.00,1.06,1.06,3.30,489.00,475.00,81.00,46.00,1.97,1.94,10.51,81.30,1.14,0.00,0.00,3.14,100.00,0.00,3954387.00,2133780.00,481035.00,4035254.00,1.00,1095.00,21269633.00,6022000.00,7647520.00,0.00,0.00,4045516.00,37433799.00,175350.00,0.00,0.00,0.00,0.00,0.00,0.00,1643442.00,106325.00,212624.00,54.00,230038.00,134.00,81.00,8.00,0.00,476.00,197.00,2679.00,Yes,1318.00,776.00,79.00,542.00,1.18,0.08,No,8.42,2.90,569400.00,1597173.00
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RFRPB,BREATHING SPACE - PARK REHABILITATION UNIT,TREATMENT CENTRE,4592.00,4592.00,100.00,18011.00,8040.00,0.80,1674.00,84.00,0.00,0.00,0.00,20.00,16.00,20.00,0.00,62.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,949.00,7321.00,148.00,503.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,475050.00,866123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84120.00,12573.00,32559.00,4.30,7977.00,0.00,1.39,0.00,0.00,0.00,0.87,0.00,No,32.00,32.00,6.00,0.00,0.00,0.00,No,8.69,5.20,18187.00,158046.00
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RFRRN,ROTHERHAM EQUIPMENT & WHEELCHAIR SERVICE,SUPPORT FACILITY,1891.00,1891.00,100.00,11725.00,6497.00,0.65,0.00,1891.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,29679.00,0.00,742.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119139.00,160069.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20624.00,506.00,1400.00,0.00,6673.00,0.00,0.00,0.00,0.00,20.22,27.51,6673.00,No,22.00,16.00,0.00,6.00,0.00,0.00,No,0.00,0.00,0.00,0.00
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,RFRWD,WOODSIDE,SUPPORT FACILITY,3646.00,3376.00,100.00,8609.00,1324.00,1.30,0.00,3376.00,7.99,0.00,7.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,30.00,0.00,0.00,20.00,100.00,0.00,1252.00,8662.00,10765.00,1684.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,470498.00,128956.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59074.00,1310.00,4217.00,0.31,3353.00,0.00,0.00,0.00,0.00,16.74,3.33,3353.00,Yes,245.00,9.00,3.00,239.00,0.00,0.08,No,0.00,0.00,0.00,0.00
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,RFSDA,CHESTERFIELD  ROYAL HOSPITAL,GENERAL ACUTE HOSPITAL,90419.00,85752.00,100.00,253780.00,54907.00,33.00,76641.00,11611.00,0.00,0.00,0.00,579.00,518.00,104.00,40.00,8.50,3.60,34.10,53.80,0.00,0.00,0.00,0.00,100.00,0.00,0.00,1500000.00,2000000.00,77777.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11334383.00,25136803.00,19176.00,0.00,0.00,0.00,0.00,0.00,0.00,2018982.00,97879.00,209658.00,38.00,447890.00,446.00,93.00,6.00,27.00,702.00,214.00,34287.00,Yes,2187.00,724.00,103.00,1564.00,1.20,0.10,No,8.30,16.80,711750.00,1676788.00
RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - SMALL,RFW99,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,GENERAL ACUTE HOSPITAL,47118.00,47118.00,60.00,119613.00,23339.00,7.54,29324.00,12686.00,0.00,0.00,0.00,397.00,364.00,79.00,28.00,5.00,48.00,11.00,1.00,27.00,0.00,3.00,5.00,100.00,561875.00,67525.00,0.00,984500.00,743725.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10527384.00,9961015.00,11115.00,0.00,0.00,0.00,0.00,0.00,0.00,1289159.00,82769.00,240964.00,367.97,149728.00,0.00,0.00,3.90,0.00,0.00,52.56,26711.00,Yes,823.00,393.00,30.00,456.00,1.40,0.13,Yes,8.68,6.30,318984.00,1313598.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,16164.00,16146.00,100.00,47347.00,11514.00,2.82,10141.00,6345.00,10.00,10.00,0.00,39.00,24.00,0.00,39.00,3.00,27.00,10.00,10.00,3.00,4.00,5.00,38.00,100.00,321723.00,0.00,374884.00,1759671.00,392875.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679122.00,2821553.00,0.00,0.00,0.00,0.00,0.00,575869.00,0.00,205666.00,4826.00,16803.00,2.46,19506.00,2.04,8.28,0.00,0.00,27.94,70.03,16282.00,No,434.00,0.00,15.00,0.00,0.00,0.00,No,7.60,6.00,4706.00,17884.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RGD05,THE MOUNT,SHORT TERM NON-ACUTE HOSPITAL,7723.00,7723.00,100.00,25109.00,3156.00,0.54,6178.00,1545.00,0.00,0.00,0.00,94.00,78.00,2.00,92.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,721259.00,1308782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5835.00,0.00,0.54,4819.00,5.33,5.48,0.00,0.00,57.80,6.68,0.00,No,71.00,12.00,2.00,0.00,0.00,0.00,No,9.89,5.00,100740.00,332106.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RGD17,ST. MARY'S HOSPITAL (RGD),LONG STAY HOSPITAL,11582.00,11582.00,100.00,26840.00,9913.00,5.02,4960.00,6622.00,25.00,0.00,0.00,17.00,9.00,0.00,17.00,0.00,0.00,16.09,0.00,0.00,10.13,2.83,70.95,100.00,0.00,0.00,40000.00,1100000.00,38000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,678697.00,2967004.00,0.00,0.00,0.00,0.00,0.00,107742.00,0.00,161230.00,31637.00,99323.00,0.44,11488.00,0.87,4.34,2.67,20.67,16.52,53.46,11650.00,No,283.00,0.00,17.00,0.00,0.00,0.00,No,9.20,3.00,21900.00,194772.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RGD75,TOWNGATE HOUSE,SHORT TERM NON-ACUTE HOSPITAL,1125.00,1125.00,100.00,3658.00,1336.00,0.36,902.00,225.00,0.00,0.00,0.00,18.00,16.00,18.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106549.00,503727.00,0.00,0.00,0.00,0.00,0.00,7884.00,0.00,35922.00,1490.00,4496.00,0.11,2561.00,0.08,0.12,0.00,0.00,6.50,4.40,2544.00,No,22.00,0.00,2.00,0.00,0.00,0.00,No,10.04,0.00,19710.00,28000.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RGD76,MILLSIDE CUE,LONG STAY HOSPITAL,1552.00,1552.00,100.00,5046.00,1844.00,0.52,1242.00,310.00,0.00,0.00,0.00,17.00,13.00,17.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138283.00,419743.00,0.00,0.00,0.00,0.00,0.00,7558.00,0.00,34686.00,2248.00,6343.00,0.11,3227.00,0.32,0.19,0.00,0.00,12.95,4.95,2928.00,No,24.00,0.00,3.00,0.00,0.00,0.00,No,11.28,0.00,18615.00,32000.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RGDAB,NEWSAM CENTRE,SPECIALIST HOSPITAL,9224.00,9224.00,100.00,29990.00,10054.00,1.00,7379.00,1845.00,0.00,0.00,0.00,108.00,93.00,0.00,108.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,833345.00,1759999.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11418.00,0.00,0.39,1835.00,1.99,2.43,0.00,0.00,75.33,11.57,0.00,No,74.00,0.00,6.00,0.00,0.00,0.00,No,9.89,5.00,120450.00,397084.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RGDAP,ASKET HOUSE,SHORT TERM NON-ACUTE HOSPITAL,1168.00,1168.00,100.00,3797.00,1273.00,0.16,934.00,234.00,0.00,0.00,0.00,16.00,14.00,16.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270560.00,449387.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,834.00,0.00,0.16,520.00,0.59,0.71,0.00,0.00,16.56,1.02,0.00,No,10.00,0.00,2.00,0.00,0.00,0.00,No,9.89,5.00,17520.00,57758.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RGDBL,BECKLIN CENTRE,SPECIALIST HOSPITAL,8296.00,8296.00,100.00,26972.00,9042.00,2.60,6637.00,1659.00,0.00,0.00,0.00,88.00,82.00,0.00,88.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,862376.00,1535742.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18904.00,0.00,0.50,2201.00,2.31,1.68,0.00,0.00,77.52,4.16,0.00,No,110.00,0.00,6.00,0.00,0.00,0.00,No,9.89,5.00,96360.00,317667.00
RGD,LEEDS AND YORK  PARTNERSHIP NHS FOUNDATION TRUST,NORTH OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RGDPL,PARKSIDE LODGE,SHORT TERM NON-ACUTE HOSPITAL,1228.00,1228.00,100.00,3993.00,1338.00,0.39,982.00,246.00,0.00,0.00,0.00,14.00,12.00,14.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142875.00,387309.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2691.00,0.00,0.07,593.00,0.00,1.66,0.00,0.00,8.49,4.28,0.00,No,12.00,0.00,2.00,0.00,0.00,0.00,No,9.89,5.00,13140.00,43318.00
